ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE PROC_CREATE SVCHOST.EXE
6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE TASKHOSTW.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE  52.143.82.23:443
6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE  52.143.82.23:443
52.230.222.68:443 READ_WRITE ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE TASKHOSTW.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE  52.143.82.23:443
52.230.222.68:443 READ_WRITE ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE READ_WRITE  131.253.14.229:443
52.230.222.68:443 READ_WRITE ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE READ_WRITE  72.21.91.29:80
52.230.222.68:443 READ_WRITE ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE READ_WRITE  104.100.149.44:443
52.230.222.68:443 READ_WRITE ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE READ_WRITE  13.107.42.12:443
52.230.222.68:443 READ_WRITE ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE PROC_CREATE SVCHOST.EXE
ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE  52.143.82.23:443
52.230.222.68:443 READ_WRITE ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE  52.143.82.23:443
52.114.159.34:443 READ_WRITE SVCHOST.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE C586E9FD6175DDD1F0BD2785AC9AE945E138B4D0.TBRES READ_WRITE TASKHOSTW.EXE READ_WRITE  13.107.42.12:443
52.114.159.34:443 READ_WRITE SVCHOST.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE C586E9FD6175DDD1F0BD2785AC9AE945E138B4D0.TBRES READ_WRITE TASKHOSTW.EXE READ_WRITE  72.21.91.29:80
52.114.159.34:443 READ_WRITE SVCHOST.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE C586E9FD6175DDD1F0BD2785AC9AE945E138B4D0.TBRES READ_WRITE TASKHOSTW.EXE READ_WRITE  131.253.14.229:443
52.114.159.34:443 READ_WRITE SVCHOST.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE C586E9FD6175DDD1F0BD2785AC9AE945E138B4D0.TBRES READ_WRITE TASKHOSTW.EXE PROC_CREATE SVCHOST.EXE
QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE SVCHOST.EXE-B1C43117.PF READ_WRITE SVCHOST.EXE
EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE SVCHOST.EXE-B1C43117.PF READ_WRITE SVCHOST.EXE
23.38.85.44:443 READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE SVCHOST.EXE-B1C43117.PF READ_WRITE SVCHOST.EXE
23.38.85.44:443 READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE SVCHOST.EXE-B1C43117.PF READ_WRITE SVCHOST.EXE
SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE SVCHOST.EXE-B1C43117.PF READ_WRITE SVCHOST.EXE
SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE PROC_CREATE null
SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE  40.81.47.231:443
SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE SVCHOST.EXE-B1C43117.PF READ_WRITE SVCHOST.EXE
SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE PROC_CREATE null
SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE  40.81.47.231:443
SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE  23.38.85.44:443
SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE  23.38.85.44:443
23.38.85.44:443 READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE SVCHOST.EXE-B1C43117.PF READ_WRITE SVCHOST.EXE
23.38.85.44:443 READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE  40.81.47.231:443
23.38.85.44:443 READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE  23.38.85.44:443
23.38.85.44:443 READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE PROC_CREATE null
23.38.85.44:443 READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE  40.81.47.231:443
23.38.85.44:443 READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE  23.38.85.44:443
23.38.85.44:443 READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE PROC_CREATE null
23.38.85.44:443 READ_WRITE SVCHOST.EXE READ_WRITE EDB.CHK READ_WRITE SVCHOST.EXE READ_WRITE QMGR.JFM READ_WRITE SVCHOST.EXE READ_WRITE SVCHOST.EXE-B1C43117.PF READ_WRITE SVCHOST.EXE
SDXHELPER.EXE READ_WRITE 1688D134-6702-479A-925E-8E14314E7E27 READ_WRITE SDXHELPER.EXE PROC_CREATE null READ_WRITE S-1-5-21-3093959445-3889932322-3086604424-1001.PCKGDEP READ_WRITE SVCHOST.EXE
FILECOAUTH.EXE READ_WRITE ONEDRIVESETUP.EXE READ_WRITE DEVICEHEALTHSUMMARYCONFIGURATION.INI READ_WRITE ONEDRIVESETUP.EXE READ_WRITE .SES READ_WRITE ONEDRIVE.EXE
OAWRAPPER.EXE READ_WRITE F_SPS64.LOG READ_WRITE SDXHELPER.EXE PROC_CREATE null READ_WRITE S-1-5-21-3093959445-3889932322-3086604424-1001.PCKGDEP READ_WRITE SVCHOST.EXE
OAWRAPPER.EXE READ_WRITE F_SPS64.LOG READ_WRITE MOBSYNC.EXE PROC_CREATE null READ_WRITE S-1-5-21-3093959445-3889932322-3086604424-1001.PCKGDEP READ_WRITE SVCHOST.EXE
DBINSTALLER.EXE READ_WRITE F_SPS64.LOG READ_WRITE SDXHELPER.EXE PROC_CREATE null READ_WRITE S-1-5-21-3093959445-3889932322-3086604424-1001.PCKGDEP READ_WRITE SVCHOST.EXE
DBINSTALLER.EXE READ_WRITE F_SPS64.LOG READ_WRITE MOBSYNC.EXE PROC_CREATE null READ_WRITE S-1-5-21-3093959445-3889932322-3086604424-1001.PCKGDEP READ_WRITE SVCHOST.EXE
CHROME.EXE READ_WRITE F_SPS64.LOG READ_WRITE SDXHELPER.EXE PROC_CREATE null READ_WRITE S-1-5-21-3093959445-3889932322-3086604424-1001.PCKGDEP READ_WRITE SVCHOST.EXE
CHROME.EXE READ_WRITE F_SPS64.LOG READ_WRITE MOBSYNC.EXE PROC_CREATE null READ_WRITE S-1-5-21-3093959445-3889932322-3086604424-1001.PCKGDEP READ_WRITE SVCHOST.EXE
GOOGLEDRIVESYNC.EXE READ_WRITE F_SPS64.LOG READ_WRITE SDXHELPER.EXE PROC_CREATE null READ_WRITE S-1-5-21-3093959445-3889932322-3086604424-1001.PCKGDEP READ_WRITE SVCHOST.EXE
